"","km_sq","Presence","easting","northing"
"404","NM6774",1,167000,774000
"405","NM6785",1,167000,785000
"406","NM6792",0,167000,792000
"407","NM6796",0,167000,796000
"408","NM6830",0,168000,730000
"409","NM6851",0,168000,751000
"410","NM6852",0,168000,752000
"411","NM6863",0,168000,763000
"412","NM6864",1,168000,764000
"413","NM6865",1,168000,765000
"414","NM6867",1,168000,767000
"415","NM6869",1,168000,769000
"416","NM6872",1,168000,772000
"417","NM6885",1,168000,785000
"418","NM6892",0,168000,792000
"419","NM6896",0,168000,796000
"420","NM6897",0,168000,797000
"421","NM6930",0,169000,730000
"422","NM6943",0,169000,743000
"423","NM6950",1,169000,750000
"424","NM6951",1,169000,751000
"425","NM6964",1,169000,764000
"426","NM6965",1,169000,765000
"427","NM6966",1,169000,766000
"428","NM6984",1,169000,784000
"429","NM6993",0,169000,793000
"430","NM7024",0,170000,724000
"431","NM7031",0,170000,731000
"432","NM7037",0,170000,737000
"433","NM7038",0,170000,738000
"434","NM7042",0,170000,742000
"435","NM7050",1,170000,750000
"436","NM7051",1,170000,751000
"437","NM7064",1,170000,764000
"438","NM7071",0,170000,771000
"439","NM7072",0,170000,772000
"440","NM7078",0,170000,778000
"441","NM7085",1,170000,785000
"442","NM7093",0,170000,793000
"443","NM7131",0,171000,731000
"444","NM7137",0,171000,737000
"445","NM7151",1,171000,751000
"446","NM7152",1,171000,752000
"447","NM7163",0,171000,763000
"448","NM7167",1,171000,767000
"449","NM7170",1,171000,770000
"450","NM7172",0,171000,772000
"451","NM7178",1,171000,778000
"452","NM7180",0,171000,780000
"453","NM7185",1,171000,785000
"454","NM7231",0,172000,731000
"455","NM7232",0,172000,732000
"456","NM7233",0,172000,733000
"457","NM7235",0,172000,735000
"458","NM7236",0,172000,736000
"459","NM7242",0,172000,742000
"460","NM7250",0,172000,750000
"461","NM7263",0,172000,763000
"462","NM7264",1,172000,764000
"463","NM7269",1,172000,769000
"464","NM7272",1,172000,772000
"465","NM7284",1,172000,784000
"466","NM7285",1,172000,785000
"467","NM7292",0,172000,792000
"468","NM7308",0,173000,708000
"469","NM7313",0,173000,713000
"470","NM7331",0,173000,731000
"471","NM7333",0,173000,733000
"472","NM7335",0,173000,735000
"473","NM7362",0,173000,762000
"474","NM7372",0,173000,772000
"475","NM7383",0,173000,783000
"476","NM7384",0,173000,784000
"477","NM7407",0,174000,707000
"478","NM7408",0,174000,708000
"479","NM7410",0,174000,710000
"480","NM7411",0,174000,711000
"481","NM7412",0,174000,712000
"482","NM7417",0,174000,717000
"483","NM7430",0,174000,730000
"484","NM7431",0,174000,731000
"485","NM7432",0,174000,732000
"486","NM7433",0,174000,733000
"487","NM7434",0,174000,734000
"488","NM7435",0,174000,735000
"489","NM7461",1,174000,761000
"490","NM7462",1,174000,762000
"491","NM7513",0,175000,713000
"492","NM7514",0,175000,714000
"493","NM7515",0,175000,715000
"494","NM7516",0,175000,716000
"495","NM7534",0,175000,734000
"496","NM7535",0,175000,735000
"497","NM7559",0,175000,759000
"498","NM7561",1,175000,761000
"499","NM7568",1,175000,768000
"500","NM7569",1,175000,769000
"501","NM7600",0,176000,7e+05
"502","NM7601",0,176000,701000
"503","NM7602",0,176000,702000
"504","NM7614",0,176000,714000
"505","NM7615",0,176000,715000
"506","NM7616",0,176000,716000
"507","NM7618",0,176000,718000
"508","NM7669",1,176000,769000
"509","NM7682",1,176000,782000
"510","NM7700",0,177000,7e+05
"511","NM7701",0,177000,701000
"512","NM7702",0,177000,702000
"513","NM7754",1,177000,754000
"514","NM7771",1,177000,771000
"515","NM7799",0,177000,799000
"516","NM7804",0,178000,704000
"517","NM7819",0,178000,719000
"518","NM7849",1,178000,749000
"519","NM7861",1,178000,761000
"520","NM7868",1,178000,768000
"521","NM7869",1,178000,769000
"522","NM7870",0,178000,770000
"523","NM7871",1,178000,771000
"524","NM7883",1,178000,783000
"525","NM7899",0,178000,799000
"526","NM7926",0,179000,726000
"527","NM7927",0,179000,727000
"528","NM7936",0,179000,736000
"529","NM7961",0,179000,761000
"530","NM7967",1,179000,767000
"531","NM7968",1,179000,768000
"532","NM7969",1,179000,769000
"533","NM7971",1,179000,771000
"534","NM7982",1,179000,782000
"535","NM8004",0,180000,704000
"536","NM8005",0,180000,705000
"537","NM8009",0,180000,709000
"538","NM8011",0,180000,711000
"539","NM8013",0,180000,713000
"540","NM8019",0,180000,719000
"541","NM8020",0,180000,720000
"542","NM8026",0,180000,726000
"543","NM8027",0,180000,727000
"544","NM8037",0,180000,737000
"545","NM8047",1,180000,747000
"546","NM8061",0,180000,761000
"547","NM8062",1,180000,762000
"548","NM8067",1,180000,767000
"549","NM8069",0,180000,769000
"550","NM8082",1,180000,782000
"551","NM8101",0,181000,701000
"552","NM8111",0,181000,711000
"553","NM8120",0,181000,720000
"554","NM8121",0,181000,721000
"555","NM8127",0,181000,727000
"556","NM8137",0,181000,737000
"557","NM8145",1,181000,745000
"558","NM8146",1,181000,746000
"559","NM8147",1,181000,747000
"560","NM8161",1,181000,761000
"561","NM8162",0,181000,762000
"562","NM8167",1,181000,767000
"563","NM8171",0,181000,771000
"564","NM8211",0,182000,711000
"565","NM8221",0,182000,721000
"566","NM8227",0,182000,727000
"567","NM8228",0,182000,728000
"568","NM8246",1,182000,746000
"569","NM8249",0,182000,749000
"570","NM8260",1,182000,760000
"571","NM8262",0,182000,762000
"572","NM8263",1,182000,763000
"573","NM8267",0,182000,767000
"574","NM8300",0,183000,7e+05
"575","NM8301",0,183000,701000
"576","NM8304",0,183000,704000
"577","NM8312",0,183000,712000
"578","NM8320",0,183000,720000
"579","NM8323",0,183000,723000
"580","NM8330",0,183000,730000
"581","NM8340",0,183000,740000
"582","NM8353",1,183000,753000
"583","NM8363",1,183000,763000
"584","NM8364",1,183000,764000
"585","NM8373",1,183000,773000
"586","NM8400",0,184000,7e+05
"587","NM8401",0,184000,701000
"588","NM8412",0,184000,712000
"589","NM8415",0,184000,715000
"590","NM8418",0,184000,718000
"591","NM8419",0,184000,719000
"592","NM8422",0,184000,722000
"593","NM8423",0,184000,723000
"594","NM8424",0,184000,724000
"595","NM8428",0,184000,728000
"596","NM8441",0,184000,741000
"597","NM8453",1,184000,753000
"598","NM8461",1,184000,761000
"599","NM8464",1,184000,764000
"600","NM8473",1,184000,773000
"601","NM8481",1,184000,781000
"602","NM8482",0,184000,782000
"603","NM8501",0,185000,701000
"604","NM8512",0,185000,712000
"605","NM8513",0,185000,713000
"606","NM8516",0,185000,716000
"607","NM8517",0,185000,717000
"608","NM8519",0,185000,719000
"609","NM8520",0,185000,720000
"610","NM8522",0,185000,722000
"611","NM8525",0,185000,725000
"612","NM8526",0,185000,726000
"613","NM8528",0,185000,728000
"614","NM8529",0,185000,729000
"615","NM8530",0,185000,730000
"616","NM8541",0,185000,741000
"617","NM8542",0,185000,742000
"618","NM8543",0,185000,743000
"619","NM8581",1,185000,781000
"620","NM8611",0,186000,711000
"621","NM8612",0,186000,712000
"622","NM8620",0,186000,720000
"623","NM8627",0,186000,727000
"624","NM8629",0,186000,729000
"625","NM8630",0,186000,730000
"626","NM8632",0,186000,732000
"627","NM8643",0,186000,743000
"628","NM8654",0,186000,754000
"629","NM8681",1,186000,781000
"630","NM8701",0,187000,701000
"631","NM8704",0,187000,704000
"632","NM8711",0,187000,711000
"633","NM8720",0,187000,720000
"634","NM8724",0,187000,724000
"635","NM8725",0,187000,725000
"636","NM8726",0,187000,726000
"637","NM8727",0,187000,727000
"638","NM8745",0,187000,745000
"639","NM8761",1,187000,761000
"640","NM8782",1,187000,782000
"641","NM8811",0,188000,711000
"642","NM8812",0,188000,712000
"643","NM8825",0,188000,725000
"644","NM8827",0,188000,727000
"645","NM8828",0,188000,728000
"646","NM8829",0,188000,729000
"647","NM8834",0,188000,734000
"648","NM8844",0,188000,744000
"649","NM8845",0,188000,745000
"650","NM8912",0,189000,712000
"651","NM8924",0,189000,724000
"652","NM8930",0,189000,730000
"653","NM8939",0,189000,739000
"654","NM8942",1,189000,742000
"655","NM8980",1,189000,780000
"656","NM8981",1,189000,781000
"657","NM9012",0,190000,712000
"658","NM9013",0,190000,713000
"659","NM9024",0,190000,724000
"660","NM9033",0,190000,733000
"661","NM9034",0,190000,734000
"662","NM9037",0,190000,737000
"663","NM9038",0,190000,738000
