fid,GridRef,Records,Abundance,Richness,FirstYear,LastYear,Taxa
"366",NM7236,"2","4","1","2009","2016",
"367",NM7329,"2","2","1","2010","2010",
"368",NS0457,"1","1","1","2010","2010",
"369",NM6331,"4","13","1","2010","2014",
"370",NM6332,"1","7","1","2010","2010",
"371",NM8727,"2","3","1","2010","2014",
"372",NM9755,"7","28","1","2010","2016",
"373",NM8037,"7","51","1","2010","2013",
"374",NM8139,"1","1","1","2010","2010",
"375",NM8137,"2","2","1","2010","2016",
"376",NM7534,"1","1","1","2010","2010",
"377",NM7513,"1","20","1","2010","2010",
"378",NM7533,"3","7","1","2010","2010",
"379",NN0534,"3","7","1","2010","2010",
"380",NM7512,"1","1","1","2010","2010",
"381",NM6320,"2","3","1","2010","2015",
"382",NR3590,"1","1","1","2010","2010",
"383",NR3589,"1","1","1","2010","2010",
"384",NR3491,"1","3","1","2010","2010",
"385",NR3591,"1","2","1","2010","2010",
"386",NR7472,"1","1","1","2010","2010",
"387",NM5743,"11","11","1","2010","2011",
"388",NM6730,"1","3","1","2010","2010",
"389",NM5054,"1","1","1","2010","2010",
"390",NM6744,"2","2","1","2010","2010",
"391",NS0459,"2","3","1","2010","2014",
"392",NR6596,"1","1","1","2010","2010",
"393",NM8008,"2","2","1","2010","2016",
"394",NM4357,"3","4","1","2010","2013",
"395",NM6531,"10","10","1","2010","2015",
"396",NM4954,"6","6","1","2010","2016",
"397",NM5428,"7","7","1","2010","2014",
"398",NM5530,"2","2","1","2010","2010",
"399",NR3690,"1","2","1","2011","2011",
"400",NM4955,"1","1","1","2011","2011",
"401",NM3819,"1","1","1","2011","2011",
"402",NM3818,"2","9","1","2011","2012",
"403",NR3141,"1","1","1","2011","2011",
"404",NM7920,"2","2","1","2012","2012",
"405",NM5842,"1","2","1","2012","2012",
"406",NM4719,"1","1","1","2012","2012",
"407",NM6631,"1","1","1","2012","2012",
"408",NM7226,"6","6","1","2012","2014",
"409",NM8121,"5","5","1","2012","2017",
"410",NM8701,"10","38","1","2012","2017",
"411",NM8700,"1","1","1","2012","2012",
"412",NM9133,"1","1","1","2012","2012",
"413",NM9532,"3","3","1","2012","2015",
"414",NN0437,"2","2","1","2012","2012",
"415",NN0026,"4","4","1","2012","2012",
"416",NN0027,"6","6","1","2012","2012",
"417",NM8414,"1","1","1","2012","2012",
"418",NN0127,"2","2","1","2012","2012",
"419",NN0126,"4","4","1","2012","2012",
"420",NR3144,"1","1","1","2012","2012",
"421",NM5221,"1","1","1","2012","2012",
"422",NM9733,"1","4","1","2013","2013",
"423",NM5329,"9","10","1","2013","2014",
"424",NM5562,"4","4","1","2013","2013",
"425",NM9632,"7","15","1","2013","2014",
"426",NM4787,"1","1","1","2013","2013",
"427",NM4484,"1","1","1","2013","2013",
"428",NM9845,"3","3","1","2013","2014",
"429",NM8400,"34","38","1","2013","2017",
"430",NM7602,"31","93","1","2013","2017",
"431",NM7601,"21","21","1","2013","2013",
"432",NM7801,"1","1","1","2013","2013",
"433",NR8095,"6","6","1","2013","2013",
"434",NR8092,"2","2","1","2013","2013",
"435",NR2742,"6","10","1","2013","2013",
"436",NM7005,"1","5","1","2013","2013",
"437",NM7105,"1","5","1","2013","2013",
"438",NM4683,"1","1","1","2013","2013",
"439",NR6881,"1","1","1","2013","2013",
"440",NM5229,"1","1","1","2013","2013",
"441",NM4118,"1","2","1","2013","2013",
"442",NM7937,"1","1","1","2013","2013",
"443",NM8239,"3","10","1","2013","2013",
"444",NM8542,"1","12","1","2013","2013",
"445",NM7334,"1","1","1","2013","2013",
"446",NM7231,"8","11","1","2013","2015",
"447",NM5228,"1","1","1","2014","2014",
"448",NM5723,"1","1","1","2014","2014",
"449",NR2741,"2","6","1","2014","2015",
"450",NM7310,"1","1","1","2014","2014",
"451",NM4024,"1","1","1","2014","2014",
"452",NM8733,"1","1","1","2014","2014",
"453",NM5929,"2","2","1","2014","2014",
"454",NM6525,"3","3","1","2014","2014",
"455",NM6822,"1","1","1","2014","2014",
"456",NM6622,"1","1","1","2014","2014",
"457",NM9533,"12","12","1","2014","2015",
"458",NN1330,"1","1","1","2014","2014",
"459",NM8520,"1","1","1","2014","2014",
"460",NM8720,"1","1","1","2014","2014",
"461",NM8528,"1","1","1","2014","2014",
"462",NR5978,"1","1","1","2014","2014",
"463",NR5979,"2","9","1","2014","2015",
"464",NR6082,"1","1","1","2014","2014",
"465",NM7227,"6","18","1","2014","2016",
"466",NR3895,"1","1","1","2014","2014",
"467",NM0246,"6","32","1","2014","2017",
"468",NM0345,"2","2","1","2014","2014",
"469",NM0245,"10","76","1","2014","2015",
"470",NM0244,"4","30","1","2014","2015",
"471",NM0247,"15","80","1","2014","2017",
"472",NM0145,"4","4","1","2014","2015",
"473",NR6880,"1","23","1","2014","2014",
"474",NR8699,"3","3","1","2014","2014",
"475",NR8698,"1","1","1","2014","2014",
"476",NR3760,"1","1","1","2014","2014",
"477",NR3661,"1","1","1","2014","2014",
"478",NM5730,"1","1","1","2014","2014",
"479",NM6029,"4","4","1","2014","2014",
"480",NM6231,"13","19","1","2014","2016",
"481",NM7030,"1","1","1","2014","2014",
"482",NM5429,"4","6","1","2014","2015",
"483",NM6230,"10","10","1","2014","2015",
"484",NM6130,"9","108","1","2014","2016",
"485",NM6220,"1","5","1","2015","2015",
"486",NM6219,"1","1","1","2015","2015",
"487",NM6021,"1","2","1","2015","2015",
"488",NM7429,"1","1","1","2015","2015",
"489",NM5543,"1","1","1","2015","2015",
"490",NM5829,"2","2","1","2015","2016",
"491",NM4723,"2","2","1","2015","2016",
"492",NM1051,"2","8","1","2015","2015",
"493",NM8401,"9","9","1","2015","2017",
"494",NM7327,"1","3","1","2016","2016",
"495",NM9033,"1","1","1","2016","2016",
"496",NM6221,"1","5","1","2016","2016",
"497",NM6222,"1","1","1","2016","2016",
"498",NM0347,"4","265","1","2016","2017",
"499",NM5119,"1","4","1","2016","2016",
"500",NR2947,"1","5","1","2016","2016",
"501",NM5328,"1","1","1","2016","2016",
"502",NR2943,"1","3","1","2016","2016",
"503",NM9945,"1","2","1","2016","2016",
"504",NM8145,"1","1","1","2016","2016",
"505",NM8604,"2","2","1","2016","2016",
"506",NM8503,"1","1","1","2016","2016",
"507",NR4246,"1","2","1","2017","2017",
"508",NM0346,"1","14","1","2017","2017",
"509",NR4174,"1","1","1","2017","2017",
"510",NR4066,"1","1","1","2017","2017",
"511",NM8221,"1","1","1","2017","2017",
