"","km_sq","easting","northing","Presence"
"552","NR9292",192000,692000,0
"553","NR9695",196000,695000,0
"554","NM4326",143000,726000,0
"555","NM4026",140000,726000,0
"556","NR6448",164000,648000,0
"557","NM7232",172000,732000,0
"558","NS1655",216000,655000,0
"559","NM4138",141000,738000,0
"560","NR8640",186000,640000,0
"561","NM0147",101000,747000,0
"562","NL9740",97000,740000,0
"563","NL9741",97000,741000,0
"564","NM0345",103000,745000,0
"565","NM0849",108000,749000,0
"566","NL9943",99000,743000,0
"567","NM0847",108000,747000,0
"568","NL9838",98000,738000,0
"569","NM0343",103000,743000,0
"570","NL9345",93000,745000,0
"571","NL9747",97000,747000,0
"572","NL9442",94000,742000,0
"573","NM0848",108000,748000,0
"574","NM0750",107000,750000,0
"575","NL9847",98000,747000,0
"576","NM0448",104000,748000,0
"577","NS2884",228000,684000,0
"578","NS2699",226000,699000,0
"579","NS2899",228000,699000,0
"580","NS3098",230000,698000,0
"581","NS2689",226000,689000,0
"582","NS2690",226000,690000,0
"583","NS3086",230000,686000,0
"584","NS2983",229000,683000,0
"585","NN3227",232000,727000,0
"586","NR6690",166000,690000,0
"587","NM4044",140000,744000,0
"588","NR7421",174000,621000,0
"589","NR9937",199000,637000,0
"590","NR7894",178000,694000,0
"591","NM7031",170000,731000,0
"592","NM5829",158000,729000,0
"593","NM2723",127000,723000,0
"594","NM2824",128000,724000,0
"595","NM4753",147000,753000,0
"596","NM4250",142000,750000,0
"597","NM4251",142000,751000,0
"598","NM6432",164000,732000,0
"599","NM5055",150000,755000,0
"600","NM4432",144000,732000,0
"601","NM3446",134000,746000,0
"602","NM3546",135000,746000,0
"603","NM4552",145000,752000,0
"604","NM3347",133000,747000,0
"605","NM2622",126000,722000,0
"606","NM5438",154000,738000,0
"607","NM6224",162000,724000,0
"608","NM6830",168000,730000,0
"609","NR7831",178000,631000,0
"610","NR6736",167000,636000,0
"611","NR7633",176000,633000,0
"612","NR7836",178000,636000,0
"613","NR7025",170000,625000,0
"614","NR7030",170000,630000,0
"615","NR7131",171000,631000,0
"616","NR7231",172000,631000,0
"617","NR6723",167000,623000,0
"618","NR6722",167000,622000,0
