,ID,X,Y,species,adults
2167,3124,-5.1583031,56.50868431,Chequered Skipper,Absent
2168,3125,-5.1583031,56.50868431,Chequered Skipper,Absent
2170,3127,-5.1583031,56.50868431,Chequered Skipper,Absent
2171,3128,-5.1583031,56.50868431,Chequered Skipper,Absent
2172,3129,-5.155133119,56.50966387,Chequered Skipper,Absent
2176,3133,-5.155133119,56.50966387,Chequered Skipper,Absent
2178,3135,-5.928402555,56.68316728,Chequered Skipper,Absent
2179,3136,-5.328708884,56.73661594,Chequered Skipper,Absent
2188,3145,-5.924471541,56.68464019,Chequered Skipper,Absent
2189,3146,-5.078082938,56.9017126,Chequered Skipper,Absent
2190,3147,-5.118948214,56.97800133,Chequered Skipper,Absent
2196,3153,-4.98672348,56.96100669,Chequered Skipper,Absent
2254,3211,-5.751560094,56.9003704,Chequered Skipper,Absent
2255,3212,-5.749921898,56.90041964,Chequered Skipper,Absent
2258,3215,-5.078082938,56.9017126,Chequered Skipper,Absent
2259,3216,-5.078082938,56.9017126,Chequered Skipper,Absent
2491,3448,-5.548608853,56.71206747,Chequered Skipper,Absent
2502,3459,-5.535975392,56.58269399,Chequered Skipper,Absent
2507,3464,-5.078385481,56.87046969,Chequered Skipper,Absent
2511,3468,-5.248248257,56.87492839,Chequered Skipper,Absent
2514,3471,-5.246299051,56.87138342,Chequered Skipper,Absent
2539,3496,-5.549921603,56.71211994,Chequered Skipper,Absent
2540,3497,-5.277884545,56.85810751,Chequered Skipper,Absent
2541,3498,-5.277954626,56.85797083,Chequered Skipper,Absent
2563,3520,-5.092049875,56.9742202,Chequered Skipper,Absent
2564,3521,-5.553552945,56.71075764,Chequered Skipper,Absent
2566,3523,-5.128350962,56.69731461,Chequered Skipper,Absent
2567,3524,-5.119491406,56.69982915,Chequered Skipper,Absent
2573,3530,-5.004408368,56.77182665,Chequered Skipper,Absent
76,523,-5.515916975,56.72697528,Chequered Skipper,Present
72,519,-5.247959165,56.55895927,Chequered Skipper,Present
1312,2269,-5.253682671,56.55925894,Chequered Skipper,Present
681,1638,-5.048228879,57.00895802,Chequered Skipper,Present
868,1825,-5.141856513,56.84933715,Chequered Skipper,Present
1329,2286,-5.247959165,56.55895927,Chequered Skipper,Present
1330,2287,-5.247959165,56.55895927,Chequered Skipper,Present
2277,3234,-5.254921529,56.55473169,Chequered Skipper,Present
1328,2285,-5.247959165,56.55895927,Chequered Skipper,Present
2007,2964,-5.257244211,56.5438833,Chequered Skipper,Present
2442,3399,-5.18560582,56.60147548,Chequered Skipper,Present
680,1637,-5.048228879,57.00895802,Chequered Skipper,Present
1936,2893,-5.259948182,56.55639776,Chequered Skipper,Present
467,1424,-5.547571926,56.80249605,Chequered Skipper,Present
1984,2941,-5.147244645,56.51256092,Chequered Skipper,Present
2427,3384,-5.254921529,56.55473169,Chequered Skipper,Present
2280,3237,-5.254921529,56.55473169,Chequered Skipper,Present
2382,3339,-5.254921529,56.55473169,Chequered Skipper,Present
2464,3421,-5.191580673,56.59502968,Chequered Skipper,Present
466,1423,-5.547571926,56.80249605,Chequered Skipper,Present
1918,2875,-5.264201813,56.55853343,Chequered Skipper,Present
450,1407,-4.899034973,56.89116747,Chequered Skipper,Present
531,1488,-5.168531917,56.98034989,Chequered Skipper,Present
593,1550,-5.194756746,56.59404914,Chequered Skipper,Present
2279,3236,-5.254921529,56.55473169,Chequered Skipper,Present
2381,3338,-5.254921529,56.55473169,Chequered Skipper,Present
679,1636,-5.048228879,57.00895802,Chequered Skipper,Present
2431,3388,-5.254921529,56.55473169,Chequered Skipper,Present
1331,2288,-5.247959165,56.55895927,Chequered Skipper,Present
1522,2479,-5.247959165,56.55895927,Chequered Skipper,Present
2450,3407,-5.192903707,56.59139997,Chequered Skipper,Present
682,1639,-5.048228879,57.00895802,Chequered Skipper,Present
905,1862,-5.247959165,56.55895927,Chequered Skipper,Present
2470,3427,-5.190106064,56.5968654,Chequered Skipper,Present
37,83,-5.734640375,56.8954832,Chequered Skipper,Present
73,520,-5.118648021,56.97441335,Chequered Skipper,Present
468,1425,-5.547571926,56.80249605,Chequered Skipper,Present
2246,3203,-5.111915563,56.91345816,Chequered Skipper,Present
2447,3404,-5.188782588,56.60049508,Chequered Skipper,Present
340,1297,-5.267914144,56.55439049,Chequered Skipper,Present
589,1546,-5.287402532,56.55387613,Chequered Skipper,Present
906,1863,-5.247959165,56.55895927,Chequered Skipper,Present
2237,3194,-4.881260538,56.87360296,Chequered Skipper,Present
2476,3433,-5.188555683,56.59780412,Chequered Skipper,Present
2,2,-5.254921529,56.55473169,Chequered Skipper,Present
410,1367,-5.53527233,56.80239602,Chequered Skipper,Present
1332,2289,-5.247959165,56.55895927,Chequered Skipper,Present
1528,2485,-5.247959165,56.55895927,Chequered Skipper,Present
2275,3232,-5.256374786,56.55743541,Chequered Skipper,Present
2278,3235,-5.254921529,56.55473169,Chequered Skipper,Present
66,513,-5.119581881,56.97573835,Chequered Skipper,Present
2475,3432,-5.188555683,56.59780412,Chequered Skipper,Present
2521,3478,-5.037084505,56.77103457,Chequered Skipper,Present
68,515,-5.119581881,56.97573835,Chequered Skipper,Present
104,551,-5.405351728,56.86040178,Chequered Skipper,Present
866,1823,-5.145986701,56.84968251,Chequered Skipper,Present
1529,2486,-5.247959165,56.55895927,Chequered Skipper,Present
1710,2667,-5.259948182,56.55639776,Chequered Skipper,Present
2410,3367,-5.254921529,56.55473169,Chequered Skipper,Present
2547,3504,-5.078082938,56.9017126,Chequered Skipper,Present
10,10,-5.255229864,56.55831944,Chequered Skipper,Present
15,15,-5.253990942,56.56284668,Chequered Skipper,Present
16,16,-5.256776981,56.55737992,Chequered Skipper,Present
19,19,-5.255229864,56.55831944,Chequered Skipper,Present
65,512,-5.531228734,56.80296017,Chequered Skipper,Present
156,1111,-5.247959165,56.55895927,Chequered Skipper,Present
341,1298,-5.267914144,56.55439049,Chequered Skipper,Present
597,1554,-5.252135401,56.56019841,Chequered Skipper,Present
1843,2800,-5.264201813,56.55853343,Chequered Skipper,Present
1983,2940,-5.147244645,56.51256092,Chequered Skipper,Present
2289,3246,-5.254921529,56.55473169,Chequered Skipper,Present
2405,3362,-5.263441864,56.44573336,Chequered Skipper,Present
1,1,-5.254921529,56.55473169,Chequered Skipper,Present
445,1402,-4.833463413,56.89267272,Chequered Skipper,Present
1310,2267,-5.194680983,56.59315215,Chequered Skipper,Present
2441,3398,-5.18560582,56.60147548,Chequered Skipper,Present
2444,3401,-5.18560582,56.60147548,Chequered Skipper,Present
2471,3428,-5.190106064,56.5968654,Chequered Skipper,Present
904,1861,-5.247959165,56.55895927,Chequered Skipper,Present
2325,3282,-5.256776981,56.55737992,Chequered Skipper,Present
70,517,-5.531228734,56.80296017,Chequered Skipper,Present
384,1341,-5.247959165,56.55895927,Chequered Skipper,Present
422,1379,-5.247959165,56.55895927,Chequered Skipper,Present
423,1380,-5.247959165,56.55895927,Chequered Skipper,Present
473,1430,-5.092292539,56.97416925,Chequered Skipper,Present
703,1660,-5.395158038,56.86562398,Chequered Skipper,Present
743,1700,-5.261572337,56.55635512,Chequered Skipper,Present
907,1864,-5.247959165,56.55895927,Chequered Skipper,Present
918,1875,-5.264201813,56.55853343,Chequered Skipper,Present
926,1883,-5.264201813,56.55853343,Chequered Skipper,Present
1286,2243,-5.048228879,57.00895802,Chequered Skipper,Present
1405,2362,-5.253836798,56.56105281,Chequered Skipper,Present
1455,2412,-5.253605614,56.558362,Chequered Skipper,Present
1650,2607,-4.975999805,56.6197042,Chequered Skipper,Present
2039,2996,-5.25685411,56.55827685,Chequered Skipper,Present
2064,3021,-5.258632699,56.56002812,Chequered Skipper,Present
2066,3023,-5.258632699,56.56002812,Chequered Skipper,Present
2195,3152,-5.111915563,56.91345816,Chequered Skipper,Present
2234,3191,-5.608628815,56.75578974,Chequered Skipper,Present
2238,3195,-5.119581881,56.97573835,Chequered Skipper,Present
2248,3205,-5.111915563,56.91345816,Chequered Skipper,Present
75,522,-5.537075718,56.80414293,Chequered Skipper,Present
514,1471,-5.119581881,56.97573835,Chequered Skipper,Present
1133,2090,-5.260411454,56.56177935,Chequered Skipper,Present
1403,2360,-5.256776981,56.55737992,Chequered Skipper,Present
1453,2410,-5.078306756,56.564628,Chequered Skipper,Present
1962,2919,-5.254921529,56.55473169,Chequered Skipper,Present
2296,3253,-5.254921529,56.55473169,Chequered Skipper,Present
2407,3364,-5.408512904,56.52044899,Chequered Skipper,Present
2469,3426,-5.190106064,56.5968654,Chequered Skipper,Present
88,535,-5.405351728,56.86040178,Chequered Skipper,Present
465,1422,-5.547571926,56.80249605,Chequered Skipper,Present
469,1426,-5.547571926,56.80249605,Chequered Skipper,Present
587,1544,-5.185662505,56.46663387,Chequered Skipper,Present
732,1689,-5.608628815,56.75578974,Chequered Skipper,Present
869,1826,-5.141856513,56.84933715,Chequered Skipper,Present
875,1832,-5.118648021,56.97441335,Chequered Skipper,Present
900,1857,-5.247959165,56.55895927,Chequered Skipper,Present
1362,2319,-5.750011854,56.90131605,Chequered Skipper,Present
1388,2345,-4.908085438,56.8914064,Chequered Skipper,Present
1451,2408,-5.389792914,56.86981525,Chequered Skipper,Present
1518,2475,-5.258324022,56.55644039,Chequered Skipper,Present
1550,2507,-5.148792659,56.51162273,Chequered Skipper,Present
1554,2511,-5.161248741,56.50501361,Chequered Skipper,Present
1592,2549,-5.206621863,56.98297421,Chequered Skipper,Present
1635,2592,-5.014158904,56.71990704,Chequered Skipper,Present
1715,2672,-5.247959165,56.55895927,Chequered Skipper,Present
1785,2742,-5.063224165,56.8005068,Chequered Skipper,Present
2008,2965,-5.257244211,56.5438833,Chequered Skipper,Present
2009,2966,-5.401983822,56.52471863,Chequered Skipper,Present
2065,3022,-5.255229864,56.55831944,Chequered Skipper,Present
2240,3197,-5.405351728,56.86040178,Chequered Skipper,Present
2323,3280,-5.256776981,56.55737992,Chequered Skipper,Present
2330,3287,-5.114355633,56.48822091,Chequered Skipper,Present
2409,3366,-5.254921529,56.55473169,Chequered Skipper,Present
2474,3431,-5.188555683,56.59780412,Chequered Skipper,Present
2478,3435,-5.188555683,56.59780412,Chequered Skipper,Present
84,531,-5.608628815,56.75578974,Chequered Skipper,Present
169,1124,-5.684080745,56.69064332,Chequered Skipper,Present
186,1141,-5.152432786,56.9749142,Chequered Skipper,Present
201,1156,-5.531228734,56.80296017,Chequered Skipper,Present
345,1302,-5.259948182,56.55639776,Chequered Skipper,Present
634,1591,-5.247959165,56.55895927,Chequered Skipper,Present
735,1692,-4.908015683,56.89050922,Chequered Skipper,Present
874,1831,-5.118648021,56.97441335,Chequered Skipper,Present
885,1842,-5.537075718,56.80414293,Chequered Skipper,Present
886,1843,-5.537075718,56.80414293,Chequered Skipper,Present
913,1870,-5.416990832,56.52880149,Chequered Skipper,Present
1192,2149,-5.252366496,56.56288923,Chequered Skipper,Present
1309,2266,-5.256776981,56.55737992,Chequered Skipper,Present
1314,2271,-5.081376714,56.68230647,Chequered Skipper,Present
